Hydrogen white 37
Helium cyan 32
Lithium violet 134
Berylium darkgreen 90
Boron beige 82
Carbon black 77
Nitrogen blue 75
Oxygen red 73
Fluorine green 71
Neon cyan 69
Sodium violet 154
Magnesium darkgreen 130
Aluminium pink 118
Silicon pink 111
Phosphorus orange 106
Sulfur yellow 102
Chlorine green 99
Argon cyan 97
Potassium violet 196
Calcium darkgreen 174
